"X1","Left_start","Left_stop","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Huddle_Center_start","Huddle_Center_stop"
188,927.334,928.434,14564.232,14566.032,4227.933,4228.4,6332.867,6333.267,952.067,952.867,NA,NA,NA,NA
189,928.467,929,14581.766,14588.966,4228.833,4229.3,6334.033,6335.033,954.567,954.9,NA,NA,NA,NA
190,929.367,929.4,14591.299,14591.566,4339.5,4339.867,6335.133,6335.3,956.467,963.934,NA,NA,NA,NA
191,929.467,931.534,14592.132,14608.966,4339.933,4450,6336.667,6336.833,984.267,984.534,NA,NA,NA,NA
192,931.734,932.367,14613.399,14632.299,4450.4,4464.5,6337.033,6337.233,984.767,985.067,NA,NA,NA,NA
193,932.467,932.834,14636.699,14637.166,4579.367,4579.5,6337.433,6338.033,991.467,991.967,NA,NA,NA,NA
194,933.634,933.834,14638.999,14641.866,4581.6,4622.833,6338.167,6339.3,998.467,998.667,NA,NA,NA,NA
195,934.034,934.1,14653.932,14654.299,4640.933,4641.367,6339.567,6340.033,1023.467,1032.734,NA,NA,NA,NA
196,934.267,934.434,14655.399,14656.699,4663.067,4663.433,6341.233,6341.767,1033,1035,NA,NA,NA,NA
197,936.234,936.267,14670.332,14670.799,4775.7,4778.2,6343,6345.767,1035.3,1040.834,NA,NA,NA,NA
198,936.434,936.467,14672.832,14677.599,4781,4781.367,6346.3,6346.367,1041.6,1046.667,NA,NA,NA,NA
199,944.5,944.7,14695.666,14702.599,4781.6,4781.833,6346.633,6348.1,1046.834,1046.934,NA,NA,NA,NA
200,947.967,952.067,14704.099,14719.966,4783.867,4783.9,6348.933,6349.067,1047.167,1056.667,NA,NA,NA,NA
201,952.867,954.567,14722.699,14723.132,4784.133,4784.333,6391.8,6393.7,1057.634,1057.667,NA,NA,NA,NA
202,954.9,956.467,14729.299,14729.999,4785.633,4785.767,6394.033,6394.6,1058.367,1059.8,NA,NA,NA,NA
203,963.934,984.267,14733.466,14733.966,4785.833,4790.633,6394.7,6394.767,1070.1,1070.6,NA,NA,NA,NA
204,984.534,984.767,15027.632,15030.032,4876.8,4877.167,6458.367,6458.8,1071.7,1075.534,NA,NA,NA,NA
205,985.067,991.467,15060.432,15061.932,4882.367,4882.433,6458.833,6459.4,1160.434,1160.567,NA,NA,NA,NA
206,991.967,998.467,15063.566,15078.466,4882.7,4887,6459.867,6460.2,1160.7,1160.9,NA,NA,NA,NA
207,998.667,1023.467,15127.666,15128.232,4936.633,4964.367,6501.733,6507.333,1164.967,1165.934,NA,NA,NA,NA
208,1032.734,1033,15176.999,15177.499,4967.6,5007.567,6534.133,6535.167,1166.467,1168.934,NA,NA,NA,NA
209,1035,1035.3,15179.466,15182.532,5013.167,5015.3,6535.867,6535.933,1182.067,1183.334,NA,NA,NA,NA
210,1040.834,1041.6,15230.566,15250.599,5015.967,5021.067,6544.233,6544.333,1183.4,1183.5,NA,NA,NA,NA
211,1046.667,1046.834,15257.666,15258.332,5021.7,5021.8,6554.633,6555.2,1183.6,1183.634,NA,NA,NA,NA
212,1046.934,1047.167,15258.466,15263.232,5022.633,5022.667,6555.4,6557.5,1194.667,1195.834,NA,NA,NA,NA
