"X1","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Contact_Unknown_start","Contact_Unknown_stop"
181,2088.2,2088.266,2070.1,2075.833,3224.666,3229.033,4628.1,4629.066,5169.966,5170.166,12155.831,12156.498,NA,NA
182,2092.8,2096.966,2096.966,2129.7,3257.266,3260.166,4634.7,4635.8,5170.533,5171.033,12435.765,12436.498,NA,NA
183,2207.7,2208.866,2132.633,2158.6,3303.966,3305.366,4635.833,4635.933,5172.066,5172.2,12517.298,12520.698,NA,NA
184,2217.933,2218.3,2219.3,2220.033,3305.7,3311.066,4636.7,4636.9,5172.233,5173.433,12766.331,12768.231,NA,NA
185,2218.333,2218.633,2220.133,2221.466,3312.733,3312.8,4637.033,4637.3,5175.2,5179.066,12861.431,12870.331,NA,NA
186,2220.033,2220.133,2222.533,2223.366,3312.933,3313.166,4640.9,4641.466,5179.233,5179.3,12883.898,12899.031,NA,NA
187,2221.466,2222.533,2229.633,2229.766,3314.633,3314.8,4718.466,4718.8,5179.5,5181.4,12904.131,12909.465,NA,NA
188,2249.666,2249.8,2248.4,2249.666,3315.466,3315.966,4719.2,4719.4,5181.566,5181.6,12911.431,12911.798,NA,NA
189,2251,2254.1,2249.8,2251,3316.033,3317.4,4734.8,4739.033,5182.4,5183.233,12916.931,12919.565,NA,NA
190,2254.633,2255,2254.1,2254.633,3324.833,3325.033,5080.633,5081.366,5184.266,5185.433,12935.398,12942.731,NA,NA
191,2265.466,2265.766,2255,2255.233,3331.133,3353,5082.6,5082.766,5185.633,5186.133,12979.798,12989.731,NA,NA
192,2265.833,2267.2,2257.733,2265.466,3353.066,3353.9,5083,5083.066,5186.166,5189.1,13095.831,13100.365,NA,NA
193,2302.5,2304.033,2265.766,2265.833,3358.433,3359.266,5083.2,5083.266,5189.233,5189.766,13109.765,13152.165,NA,NA
194,2306.366,2310.366,2270.933,2296.966,3371.7,3403.133,5083.733,5085,5189.8,5190.1,13171.365,13183.898,NA,NA
195,2311.166,2311.933,2298.133,2302.5,3403.433,3406.533,5085.466,5085.633,5190.133,5190.833,13192.098,13199.698,NA,NA
196,2312,2312.133,2304.033,2306.366,3415.1,3471.7,5087.566,5088.566,5191.166,5191.366,13199.898,13205.965,NA,NA
197,2325.533,2336,2310.366,2311.166,3471.7,3509.933,5091.433,5092.8,5191.566,5191.733,13209.131,13213.165,NA,NA
198,2353.233,2354.566,2311.933,2312,3512.1,3513.6,5096.133,5096.233,5191.866,5193.133,13215.898,13220.465,NA,NA
199,2356.233,2359.3,2312.133,2325.533,3516.666,3517.066,5098.533,5098.633,5193.466,5193.5,13245.031,13253.331,NA,NA
200,2360.7,2360.766,2336,2353.233,3519.9,3534.766,5101.133,5101.566,5193.533,5195.633,13326.398,13338.898,NA,NA
201,2361.733,2363.066,2354.566,2356.233,3685.6,3688.4,5104.666,5104.7,5195.7,5196.533,13356.998,13361.198,NA,NA
202,2384.466,2384.733,2359.3,2360.7,3688.8,3690.1,5105.233,5106.333,5196.833,5199.133,13414.765,13419.231,NA,NA
203,2385.766,2389.266,2360.766,2361.733,3690.3,3691.333,5130.333,5131.3,5199.166,5199.233,13481.531,13483.198,NA,NA
204,2390.2,2390.4,2363.066,2364.066,3693.333,3699.433,5134.733,5135.166,5199.566,5199.6,13667.898,13690.998,NA,NA
205,2390.933,2392.5,2378.366,2384.466,3700.866,3705.233,5139.2,5141.5,5199.633,5201.333,13712.398,13716.265,NA,NA
206,2421.3,2421.733,2384.733,2385.766,3710.533,3715.066,5148.066,5149.4,5202.766,5205.5,13730.065,13734.731,NA,NA
207,2423.2,2424.766,2389.266,2390.2,4092.4,4093.533,5149.433,5149.6,5293.966,5294.066,13768.731,13783.698,NA,NA
208,2431.666,2433.333,2390.4,2390.933,4094.466,4097.5,5160.033,5160.266,5294.333,5294.633,13800.231,13812.465,NA,NA
