"X1","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
139,2061.367,2061.934,2661.534,2663.6,NA,NA,3406.634,3408.867,10879.132,10905.032,NA,NA
140,2100.567,2103.567,2764.1,2784.834,NA,NA,3410.467,3410.634,10905.432,10905.632,NA,NA
141,2195,2195.167,2860.967,2861.9,NA,NA,3458.9,3459.334,10905.899,10911.632,NA,NA
142,2195.767,2196,2873.1,2903.334,NA,NA,3495.967,3522.934,10911.832,10920.232,NA,NA
143,2196.367,2196.467,2989.567,2993.5,NA,NA,3549.934,3550.334,11101.799,11102.732,NA,NA
144,2197.6,2241.8,2993.667,2996.034,NA,NA,3579.233,3589.5,11102.766,11129.066,NA,NA
145,2323.367,2327.834,2996.1,2998.267,NA,NA,5334.9,5335.4,11444.132,11450.999,NA,NA
146,2361.734,2367.9,3036.667,3036.7,NA,NA,5342.8,5343.433,11451.499,11456.466,NA,NA
147,2375.567,2385.234,3036.734,3036.9,NA,NA,5343.566,5352.066,11457.199,11461.532,NA,NA
148,2387.5,2387.767,3037.134,3037.234,NA,NA,5352.733,5352.933,11461.599,11461.832,NA,NA
149,2576.434,2578.134,3041.134,3059.134,NA,NA,10667.399,10669.232,11461.866,11461.932,NA,NA
150,2578.2,2578.234,3059.234,3178.767,NA,NA,10680.099,10680.166,11461.999,11464.466,NA,NA
151,2587.9,2587.967,3178.8,3178.867,NA,NA,10681.099,10683.632,11522.099,11522.199,NA,NA
152,2600.7,2601.734,3180.1,3380.534,NA,NA,10683.966,10689.799,11522.266,11522.466,NA,NA
153,2603.334,2603.734,3381.8,3386.5,NA,NA,10691.599,10693.032,11546.499,11546.632,NA,NA
154,2604.7,2607.834,3386.867,3387.134,NA,NA,10693.432,10693.499,11548.266,11548.432,NA,NA
155,2641.1,2642.834,3392.434,3404.834,NA,NA,10711.766,10711.799,11549.432,11549.599,NA,NA
156,2661.467,2661.534,3523.7,3524.9,NA,NA,10711.832,10711.866,11549.632,11549.732,NA,NA
157,2663.6,2672.7,3525.367,3537.167,NA,NA,10720.266,10751.232,11550.199,11550.566,NA,NA
158,2758.334,2760.2,3590.666,3602.266,NA,NA,10753.966,10754.032,11559.899,11560.199,NA,NA
159,2784.834,2802.567,3632.166,4455.666,NA,NA,10754.166,10754.499,11666.466,11729.266,NA,NA
160,2802.6,2802.934,4456.2,5326.733,NA,NA,10754.632,10755.466,11736.266,11736.399,NA,NA
161,2803,2803.867,5353.933,7171.433,NA,NA,10756.466,10756.532,11739.866,11740.199,NA,NA
162,2848.6,2855.334,7171.433,10603.899,NA,NA,10756.566,10772.966,11850.499,11851.866,NA,NA
163,2860.834,2860.967,10616.966,10628.799,NA,NA,10772.966,10779.366,11853.199,11853.532,NA,NA
164,2861.9,2873.1,10629.066,10634.099,NA,NA,10823.532,10824.299,12408.532,12409.566,NA,NA
165,2903.334,2909.2,10634.166,10634.299,NA,NA,10824.632,10830.732,12409.632,12409.732,NA,NA
166,2980.734,2989.567,10634.399,10649.199,NA,NA,10830.932,10850.066,12674.999,12676.332,NA,NA
167,2993.5,2993.667,10650.366,10651.666,NA,NA,10850.666,10850.799,12676.532,12676.899,NA,NA
168,2996.034,2996.1,10803.499,10804.266,NA,NA,10851.399,10852.166,12685.299,12685.966,NA,NA
169,2998.267,3001.234,10804.466,10804.699,NA,NA,10852.232,10852.332,12840.399,12902.832,NA,NA
170,3036.1,3036.667,10805.699,10806.066,NA,NA,10876.899,10877.132,12903.199,13053.166,NA,NA
171,3036.7,3036.734,10815.099,10815.266,NA,NA,10877.332,10878.132,13119.666,13123.832,NA,NA
172,3036.9,3037.134,10968.766,10982.899,NA,NA,10878.266,10878.399,13123.899,13129.866,NA,NA
173,3037.234,3041.134,10983.299,10983.366,NA,NA,10878.832,10878.932,13186.599,13194.199,NA,NA
174,3059.134,3059.234,10983.466,10983.699,NA,NA,10878.966,10879.066,13347.332,13348.166,NA,NA
175,3178.767,3178.8,10984.366,10984.399,NA,NA,10879.099,10879.132,13396.566,13409.466,NA,NA
176,3178.867,3180.1,10985.166,10986.499,NA,NA,10905.032,10905.432,13666.132,13666.366,NA,NA
177,3380.534,3381.8,10986.666,10987.832,NA,NA,10905.632,10905.899,14212.166,14212.366,NA,NA
178,3386.5,3386.867,10988.466,10988.532,NA,NA,10911.632,10911.832,14213.799,14213.832,NA,NA
179,3387.134,3392.434,10988.566,10988.699,NA,NA,10920.232,10925.366,14215.066,14217.532,NA,NA
